n_clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,dataset,method,params,runtime_s,inertia,n_iter
63,0.41051597471382195,0.371191350327727,0.48763806306387175,351285.3590274286,,,Earthquakes,DBSCAN,"{""eps"": 87.664707, ""min_samples"": 32}",0.10219652199998563,,
48,0.29288399111566715,0.4013826838196474,0.4263886908338718,134038.91311806138,,,Earthquakes,DBSCAN,"{""eps"": 123.278495, ""min_samples"": 32}",0.12028259900000648,,
45,0.20557833589612165,0.27135732377200794,0.45243721508103246,36316.281995469566,,,Earthquakes,DBSCAN,"{""eps"": 164.371326, ""min_samples"": 32}",0.14111151099996277,,
40,0.15299846232701178,0.3117385175873715,0.46300859797583616,29584.938219251297,,,Earthquakes,DBSCAN,"{""eps"": 219.161768, ""min_samples"": 32}",0.16953017100001944,,
32,0.1245942251836665,0.2039835465255963,0.492392315788006,20191.35564521985,,,Earthquakes,DBSCAN,"{""eps"": 273.95221, ""min_samples"": 32}",0.2080196670000305,,
26,0.09273022381684606,0.2267283070467396,0.6080503851240999,22771.036963787294,,,Earthquakes,DBSCAN,"{""eps"": 356.137874, ""min_samples"": 32}",0.21021997800005465,,
24,0.05347684947889971,0.30266376665821915,0.5839009636797862,16099.40963924242,,,Earthquakes,DBSCAN,"{""eps"": 465.718758, ""min_samples"": 32}",0.2777688449999687,,
18,0.034683068511874256,0.2511378515652921,0.9032203105809749,14018.820877272694,,,Earthquakes,DBSCAN,"{""eps"": 602.694863, ""min_samples"": 32}",0.3207082100000207,,
12,0.01866564155134119,0.2864746475881415,0.6664181427224584,20489.663673194635,,,Earthquakes,DBSCAN,"{""eps"": 821.856631, ""min_samples"": 32}",0.40764538400003403,,
253,0.3448333333333333,0.21674490704988628,0.5651599824707741,4619.26733732856,,,UberNYC,DBSCAN,"{""eps"": 0.068996, ""min_samples"": 4}",0.017541137999955936,,
105,0.19733333333333333,-0.35933331380655076,0.6814726958050179,237.67528216433124,,,UberNYC,DBSCAN,"{""eps"": 0.103494, ""min_samples"": 4}",0.019180151000000478,,
65,0.13016666666666668,-0.32143129898906647,0.49837479519672634,223.88595441408134,,,UberNYC,DBSCAN,"{""eps"": 0.151792, ""min_samples"": 4}",0.021919034000006832,,
54,0.0915,-0.10745229493571455,0.48626522375375436,250.23021308034603,,,UberNYC,DBSCAN,"{""eps"": 0.220788, ""min_samples"": 4}",0.027209369000047445,,
37,0.06116666666666667,-0.1256815538770333,0.5206706927018409,384.0208117788794,,,UberNYC,DBSCAN,"{""eps"": 0.310483, ""min_samples"": 4}",0.03272143699996377,,
28,0.045,-0.03929268319294621,0.4963700843985014,535.5184276101223,,,UberNYC,DBSCAN,"{""eps"": 0.413977, ""min_samples"": 4}",0.039382809000017005,,
27,0.031,-0.05635513345099821,0.5451331679122816,526.3298774353334,,,UberNYC,DBSCAN,"{""eps"": 0.55197, ""min_samples"": 4}",0.04548565300001428,,
20,0.023333333333333334,0.07586605671614584,0.506137806535834,701.6383452862395,,,UberNYC,DBSCAN,"{""eps"": 0.689962, ""min_samples"": 4}",0.05360000200005288,,
14,0.017333333333333333,0.11431769536971066,0.4758778302265032,360.3700378908944,,,UberNYC,DBSCAN,"{""eps"": 0.896951, ""min_samples"": 4}",0.06845175900002687,,
13,0.012,0.16388547746763166,0.5425162797113506,366.3516308042814,,,UberNYC,DBSCAN,"{""eps"": 1.172936, ""min_samples"": 4}",0.09427771200000734,,
10,0.008,0.5450666839413081,0.49097491281760436,489.59645417563416,,,UberNYC,DBSCAN,"{""eps"": 1.517917, ""min_samples"": 4}",0.1168405560000565,,
2,0.005333333333333333,0.7500104109386057,0.19599195463375227,2749.730026695178,,,UberNYC,DBSCAN,"{""eps"": 2.069887, ""min_samples"": 4}",0.16918146099999376,,
119,0.6353333333333333,0.5203878313285807,0.494053209396297,44462.922887472465,,,UberNYC,DBSCAN,"{""eps"": 0.068996, ""min_samples"": 8}",0.016415193000057116,,
67,0.3556666666666667,-0.16842070724115574,0.884643295812505,1595.9299596147075,,,UberNYC,DBSCAN,"{""eps"": 0.103494, ""min_samples"": 8}",0.024613606999992044,,
43,0.19616666666666666,-0.3976969805931409,0.6566608656264048,352.5626008905024,,,UberNYC,DBSCAN,"{""eps"": 0.151792, ""min_samples"": 8}",0.021905226000058065,,
16,0.14316666666666666,0.11317973867571778,0.46537932850980807,720.9005057718275,,,UberNYC,DBSCAN,"{""eps"": 0.220788, ""min_samples"": 8}",0.025409058999912304,,
17,0.10683333333333334,0.15850468904190407,0.5264633987285726,741.7104676639432,,,UberNYC,DBSCAN,"{""eps"": 0.310483, ""min_samples"": 8}",0.03245079999999234,,
13,0.07966666666666666,0.03971410106621087,0.561488672663442,1049.0998203907284,,,UberNYC,DBSCAN,"{""eps"": 0.413977, ""min_samples"": 8}",0.037838606000036634,,
13,0.05483333333333333,0.03641328363832119,0.5706929915450781,1103.7426230159613,,,UberNYC,DBSCAN,"{""eps"": 0.55197, ""min_samples"": 8}",0.060663237999960984,,
11,0.0405,0.0756291465761363,0.5658629557868484,1226.8493874692874,,,UberNYC,DBSCAN,"{""eps"": 0.689962, ""min_samples"": 8}",0.06235288599998512,,
8,0.03133333333333333,0.08139438540283975,0.5273653426287765,850.151368559661,,,UberNYC,DBSCAN,"{""eps"": 0.896951, ""min_samples"": 8}",0.07379293000008147,,
4,0.024333333333333332,0.21092077814758745,0.5989093780583393,1181.9641218758734,,,UberNYC,DBSCAN,"{""eps"": 1.172936, ""min_samples"": 8}",0.09874421500001063,,
7,0.013333333333333334,0.5820879896269334,0.38146140049315924,661.9871383311248,,,UberNYC,DBSCAN,"{""eps"": 1.517917, ""min_samples"": 8}",0.12317465600006017,,
3,0.007333333333333333,0.6870376747172149,0.3256545733382828,1579.877358460348,,,UberNYC,DBSCAN,"{""eps"": 2.069887, ""min_samples"": 8}",0.14738639100005457,,
16,0.934,0.8241323583473573,0.2687068383438561,977282.9963108643,,,UberNYC,DBSCAN,"{""eps"": 0.068996, ""min_samples"": 16}",0.015830466000011256,,
38,0.7005,0.4330224347417488,0.5479588261817288,27813.09660041163,,,UberNYC,DBSCAN,"{""eps"": 0.103494, ""min_samples"": 16}",0.01760775900004319,,
24,0.38266666666666665,-0.34347555556442644,0.9671151512949882,808.5975154411742,,,UberNYC,DBSCAN,"{""eps"": 0.151792, ""min_samples"": 16}",0.020648889000085546,,
14,0.2135,-0.04276559801719382,0.4947449160377398,783.0714836689378,,,UberNYC,DBSCAN,"{""eps"": 0.220788, ""min_samples"": 16}",0.025094404000014947,,
9,0.148,0.24835058923383413,0.4759196064262482,1221.6869865724982,,,UberNYC,DBSCAN,"{""eps"": 0.310483, ""min_samples"": 16}",0.03112807300010445,,
7,0.12683333333333333,0.26871200161054903,0.5269333342859049,1784.6990311538384,,,UberNYC,DBSCAN,"{""eps"": 0.413977, ""min_samples"": 16}",0.03924536900001385,,
6,0.0875,0.3737563059397146,0.4938004171411177,2431.5782360569415,,,UberNYC,DBSCAN,"{""eps"": 0.55197, ""min_samples"": 16}",0.04715560900001492,,
6,0.06866666666666667,0.3250799870814418,0.5097926814308607,2535.0809726271764,,,UberNYC,DBSCAN,"{""eps"": 0.689962, ""min_samples"": 16}",0.05517378100000769,,
7,0.04583333333333333,-0.023919399090788794,0.6310957324768258,1028.923600050446,,,UberNYC,DBSCAN,"{""eps"": 0.896951, ""min_samples"": 16}",0.06715868300000238,,
4,0.035666666666666666,0.2578322264011258,0.5959682336669362,1862.3711046621465,,,UberNYC,DBSCAN,"{""eps"": 1.172936, ""min_samples"": 16}",0.08393529199997829,,
2,0.029333333333333333,0.7769351836113847,0.17434837615823298,3431.1090189293277,,,UberNYC,DBSCAN,"{""eps"": 1.517917, ""min_samples"": 16}",0.11856221200002892,,
2,0.017333333333333333,0.7690798350101734,0.18671197377592846,3259.845124775357,,,UberNYC,DBSCAN,"{""eps"": 2.069887, ""min_samples"": 16}",0.16964694700004657,,
2,0.9828333333333333,0.9970053710933103,0.00409673697844168,3700822.0607149955,,,UberNYC,DBSCAN,"{""eps"": 0.068996, ""min_samples"": 32}",0.015704153999990922,,
3,0.966,0.990653304918986,0.012293337585370224,833010.2084520257,,,UberNYC,DBSCAN,"{""eps"": 0.103494, ""min_samples"": 32}",0.017155401000081838,,
15,0.7716666666666666,0.46007400280858063,0.5355333398882658,31937.03037341379,,,UberNYC,DBSCAN,"{""eps"": 0.151792, ""min_samples"": 32}",0.018793927000047006,,
